class,precision,recall,f1_score,support
abla,0.8,0.75,0.7741935483870968,16
acele,0.9230769230769231,0.75,0.8275862068965517,16
acikmak,0.85,1.0,0.918918918918919,17
afiyet_olsun,0.7391304347826086,1.0,0.85,17
agabey,0.5517241379310345,0.9411764705882353,0.6956521739130435,17
agac,1.0,0.7647058823529411,0.8666666666666667,17
agir,0.56,0.8235294117647058,0.6666666666666666,17
aglamak,0.3125,0.5882352941176471,0.40816326530612246,17
aile,0.39285714285714285,0.6470588235294118,0.4888888888888889,17
akilli,0.5333333333333333,0.9411764705882353,0.6808510638297872,17
akilsiz,0.5666666666666667,1.0,0.723404255319149,17
akraba,0.7272727272727273,1.0,0.8421052631578947,16
alisveris,0.4838709677419355,1.0,0.6521739130434783,15
anahtar,0.625,0.9375,0.75,16
anne,0.85,1.0,0.918918918918919,17
arkadas,0.8823529411764706,1.0,0.9375,15
ataturk,0.16279069767441862,0.5,0.24561403508771928,14
ayakkabi,0.46153846153846156,0.75,0.5714285714285714,16
ayna,0.8888888888888888,0.9411764705882353,0.9142857142857143,17
ayni,0.4375,0.8235294117647058,0.5714285714285714,17
baba,0.8,1.0,0.8888888888888888,16
bahce,0.8947368421052632,1.0,0.9444444444444444,17
bakmak,0.45454545454545453,0.8823529411764706,0.6,17
bal,0.3939393939393939,0.8125,0.5306122448979592,16
bardak,0.21212121212121213,0.875,0.34146341463414637,16
bayrak,0.7777777777777778,0.875,0.8235294117647058,16
bayram,1.0,0.9411764705882353,0.9696969696969697,17
bebek,1.0,0.8235294117647058,0.9032258064516129,17
bekar,1.0,0.9411764705882353,0.9696969696969697,17
beklemek,0.7619047619047619,0.9411764705882353,0.8421052631578947,17
ben,1.0,0.4117647058823529,0.5833333333333334,17
benzin,0.9444444444444444,1.0,0.9714285714285714,17
beraber,0.9,0.5294117647058824,0.6666666666666666,17
bilgi_vermek,1.0,0.8823529411764706,0.9375,17
biz,0.7058823529411765,0.7058823529411765,0.7058823529411765,17
calismak,1.0,0.9375,0.967741935483871,16
carsamba,0.5454545454545454,0.35294117647058826,0.42857142857142855,17
catal,1.0,0.7647058823529411,0.8666666666666667,17
cay,0.7647058823529411,0.7647058823529411,0.7647058823529411,17
caydanlik,0.7333333333333333,0.6875,0.7096774193548387,16
cekic,0.8333333333333334,0.8823529411764706,0.8571428571428571,17
cirkin,0.53125,1.0,0.6938775510204082,17
cocuk,0.7222222222222222,0.7647058823529411,0.7428571428571429,17
corba,0.5833333333333334,0.8235294117647058,0.6829268292682927,17
